row,stim_idx,edit_type,word_orig,in_ctx,in_full_prefix,d_own,d_pos2,d_foreign,d_noinj
284,82,corrupt_det,"(""6",False,False,-0.0194873809814453,1.5296268463134766,-0.1953201293945312,1.5283818244934082
285,83,corrupt_det,American,False,False,20.82812535762787,19.109375655651093,17.359375953674316,19.09374976158142
286,83,corrupt_det,101,False,False,7.124999523162842,2.562500476837158,3.9375,0.75
288,84,corrupt,Wikipedia-style,False,False,14.970671474933624,12.606141567230225,12.618462800979614,14.452140927314758
289,84,corrupt_det,"""The",True,True,14.968687534332275,12.696070194244385,10.980477452278135,12.35853099822998
290,84,corrupt_det,"""New""",True,True,46.841403245930906,5.036647796630859,17.708908081054688,8.367708206176758
291,85,corrupt,CD,False,False,2.812500238418579,0.375,-0.90625,-1.609375
291,85,corrupt_det,CD,False,False,11.64062523841858,6.4375,5.15625,4.796875
292,85,corrupt_det,"""While",False,False,20.235594511032104,9.156367301940918,10.235366821289062,-0.8566980361938477
293,85,corrupt,album,True,True,14.374999523162842,5.125000476837158,-1.40625,5.6875
293,85,corrupt_det,"(""Several",True,True,25.444576263427734,0.5512008666992188,12.62969970703125,-0.7631187438964844
295,86,corrupt,historical,False,False,12.34375023841858,12.093750476837158,-3.375,3.15625
295,86,corrupt_det,"""Indian",True,True,21.458142280578613,25.818387985229492,7.733318328857422,11.37220573425293
296,86,corrupt,"1885""",False,False,16.85873246192932,6.340757369995117,-4.98710823059082,-1.3959465026855469
296,86,corrupt_det,"1885""",False,False,20.443605661392212,4.393394470214844,-2.8482818603515625,0.9215364456176758
297,87,corrupt,Free,False,False,13.064764022827148,13.011963844299316,10.354318618774414,8.198351860046387
297,87,corrupt_det,IRC,False,False,29.81740826368332,17.486119270324707,9.691316604614258,1.4258747100830078
298,87,corrupt,negative,False,False,5.468750476837158,1.046875,0.4140625,0.46875
299,87,corrupt,"significant""),",True,True,11.998341083526611,3.54256820678711,2.881750106811523,5.631051063537598
299,87,corrupt_det,"(""An",False,True,15.375001907348633,18.99999952316284,8.71875,3.125
300,88,corrupt_det,Native,False,False,11.71875,13.132812023162842,3.04296875,3.757811546325683
303,88,corrupt_det,Indian,False,False,3.78125,2.875,0.03125,1.5625
304,88,corrupt,"""war",True,True,9.93749976158142,0.703125,2.046875,-8.125
305,88,corrupt_det,"(""The",True,True,12.249999046325684,11.499999046325684,6.968749523162842,5.8125
307,89,corrupt_det,New,True,True,16.222412824630737,12.391602516174316,2.78125,7.609375476837158
308,89,corrupt,orchid's,False,False,5.129702091217041,7.241663455963135,3.93510627746582,0.7099723815917969
308,89,corrupt_det,"""The",False,True,20.7570743560791,24.690505027770996,16.57617473602295,11.902976036071776
309,89,corrupt,"""orchidoid",False,False,14.571576595306396,-9.8169527053833,-8.350650787353516,-10.171602249145508
309,89,corrupt_det,"(""Flowers",True,True,35.06461143493652,30.80855178833008,15.371532440185549,4.57628059387207
310,90,corrupt,Earth's,False,False,9.46653774380684,2.1713743209838867,2.706714630126953,1.3168344497680664
310,90,corrupt_det,Moon.,False,False,33.29503774642944,20.468669891357425,15.988014221191406,14.413676261901855
312,90,corrupt,temporary,True,True,9.687499523162842,0.8125,-3.41796875,-0.54296875
312,90,corrupt_det,"(""15",False,False,1.966777801513672,2.8627281188964844,-1.3715858459472656,1.3268795013427734
