row,stim_idx,claim_idx,n_claims,is_last,has_det,error,cos_claim,cos_corrupt,cos_paraphrase,cos_corrupt_det,d_true_corrupt,d_true_para,d_para_corrupt,d_true_det
213,62,1,3,False,True,,0.4815608690093692,0.4806420857066925,0.443363982483552,0.47372315986705327,0.0009187833026766956,0.03819688652581715,-0.03727810322314046,0.007837709142315907
214,62,2,3,True,True,,0.9040653800094819,0.9030587133579064,0.9002743404802573,0.8033536672233521,0.0010066666515754497,0.003791039529224549,-0.0027843728776490995,0.10071171278612978
215,63,0,3,False,False,,0.5016634527764984,0.5063500079406744,0.49788456436358997,,-0.004686555164176043,0.00377888841290841,-0.008465443577084453,
216,63,1,3,False,True,,0.7109392673456384,0.7225168864867852,0.66698233730564,0.700226459327537,-0.011577619141146855,0.04395693003999834,-0.0555345491811452,0.010712808018101372
217,63,2,3,True,False,,0.8424493273444428,0.8407285437280043,0.829602280453765,,0.0017207836164384593,0.012847046890677727,-0.011126263274239268,
218,64,0,3,False,True,,0.5006512078725195,0.4967216204844784,0.4883234246096227,0.4760875183205692,0.003929587388041111,0.012327783262896796,-0.008398195874855685,0.024563689551950263
219,64,1,3,False,True,,0.6922785304137697,0.6849361859265615,0.6738639347149323,0.6977779382342962,0.007342344487208274,0.01841459569883741,-0.011072251211629136,-0.005499407820526492
220,64,2,3,True,True,,0.8823517301958771,0.8795839823656963,0.8678120528146451,0.8821066657953367,0.0027677478301807446,0.014539677381231964,-0.011771929551051219,0.0002450644005403957
221,65,0,3,False,False,,0.4377085663645171,0.42583205592067874,0.4301584473298144,,0.011876510443838362,0.007550119034702707,0.004326391409135655,
222,65,1,3,False,True,,0.4578456343965538,0.4551827844556501,0.44224649318765574,0.4924289137634451,0.002662849940903711,0.015599141208898049,-0.012936291267994338,-0.03458327936689132
223,65,2,3,True,True,,0.8584886356071657,0.8613261608925559,0.8239901414437305,0.8343841164700049,-0.0028375252853901634,0.0344984941634352,-0.037336019448825364,0.02410451913716083
224,66,0,4,False,True,,0.45311708033632486,0.4572733649304364,0.5176623655444377,0.4535059096496976,-0.004156284594111548,-0.06454528520811281,0.060389000614001265,-0.0003888293133727516
225,66,1,4,False,True,,0.8059597067094567,0.802336590886165,0.7745524125845513,0.8032402814202356,0.003623115823291667,0.031407294124905394,-0.027784178301613727,0.002719425289221089
226,66,2,4,False,True,,0.8006404629945031,0.803012745600288,0.8039585682553061,0.7903924001868261,-0.0023722826057849256,-0.003318105260803006,0.0009458226550180804,0.010248062807676983
227,66,3,4,True,False,,0.6854951479857979,0.6731742110651202,0.6137961151998339,,0.012320936920677705,0.07169903278596401,-0.05937809586528631,
228,67,0,5,False,False,,0.6925897519945167,0.6872280838708089,0.6689997277519057,,0.005361668123707752,0.02359002424261092,-0.018228356118903166,
229,67,1,5,False,True,,0.6759367068328841,0.682343132700478,0.6064816561827666,0.6908431150209131,-0.006406425867593879,0.06945505065011748,-0.07586147651771136,-0.014906408188029019
231,67,3,5,False,True,,0.6973973220373424,0.7000866627520317,0.7045205916353056,0.6690979530013209,-0.0026893407146892923,-0.007123269597963167,0.004433928883273874,0.028299369036021482
234,68,1,3,False,True,,0.6396235453053081,0.6367220179471266,0.3751515264777431,0.6437215840355437,0.0029015273581814993,0.264472018827565,-0.2615704914693835,-0.00409803873023562
235,68,2,3,True,True,,0.8248740348958852,0.8274278833821778,0.8029530441935387,0.7268657247693661,-0.002553848486292587,0.021920990702346432,-0.02447483918863902,0.09800831012651912
238,69,2,4,False,False,,0.4045038957753077,0.36142802564935433,0.42131206871856625,,0.043075870125953375,-0.016808172943258537,0.05988404306921191,
239,69,3,4,True,True,,0.758364729169689,0.7571168776735195,0.7119984169999891,0.7475749635159024,0.001247851496169461,0.046366312169699886,-0.045118460673530425,0.010789765653786643
240,70,0,3,False,True,,0.6341950790982686,0.633276130993587,0.6775262849440525,0.6243630768857145,0.0009189481046815162,-0.04333120584578398,0.0442501539504655,0.009832002212554092
241,70,1,3,False,True,,0.6773697338809305,0.6759238139371835,0.6591219736773642,0.6689429135768097,0.0014459199437469872,0.01824776020356622,-0.016801840259819234,0.008426820304120786
242,70,2,3,True,True,,0.8787591258804899,0.8799715249208405,0.8489074311305748,0.8715739962502462,-0.0012123990403506424,0.029851694749915114,-0.031064093790265757,0.007185129630243647
243,71,0,6,False,False,,0.6009700800016298,0.5687479923904387,0.6189076351428942,,0.03222208761119105,-0.017937555141264383,0.050159642752455436,
244,71,1,6,False,True,,0.47321288687566465,0.4671084266694801,0.4302995515413186,0.44928677531489486,0.006104460206184548,0.04291333533434605,-0.0368088751281615,0.02392611156076979
245,71,2,6,False,False,,0.8239675454878325,0.8133523883801438,0.7706727996930088,,0.010615157107688677,0.05329474579482363,-0.04267958868713495,
246,71,3,6,False,False,,0.544328772267478,0.5566545662778379,0.5176023653837137,,-0.012325794010359936,0.026726406883764264,-0.0390522008941242,
247,71,4,6,False,False,,0.7829592947559033,0.7815123613856312,0.7382698138935804,,0.0014469333702721299,0.04468948086232294,-0.04324254749205081,
249,72,0,3,False,True,,0.5049522641870403,0.4984554257212875,0.4939494023295989,0.5019744398925993,0.00649683846575283,0.011002861857441426,-0.004506023391688596,0.002977824294441045
