stim_idx,doc_idx,pos,variant,cos,cos_minus_V0
9,229,293,V1,0.7514325478887562,-0.03338510625128155
10,74,153,V1,0.8492577158573968,-0.009158374034556438
11,399,348,V1,0.8876779712312642,-0.006133426886764659
12,457,211,V1,0.9427560258659702,0.0025847136455399156
13,117,290,V1,0.9207922805505869,-0.0013240577699948908
14,472,395,V1,0.9300759034270863,-0.004921539218677995
15,454,435,V1,0.901701698825992,0.0034355201611743214
16,167,60,V1,0.8834633009591226,0.001440669186442367
17,100,26,V1,0.9290554989640942,0.001456384569343161
18,353,55,V1,0.8931047601483415,0.0017431206310113412
19,592,254,V1,0.9071275428087079,-0.002215915684776748
20,270,216,V1,0.8651301250742487,-0.021566296161514953
21,459,18,V1,0.880068332297359,-0.004001690007038428
22,536,20,V1,0.8440757177033568,-0.009234026868170209
23,83,276,V1,0.9318415656341583,0.009413324021057767
24,524,143,V1,0.9044104117377889,0.0002681689934663778
25,18,394,V1,0.9122030260358546,-0.0004126576645551161
26,134,244,V1,0.9044326540164198,-0.0013791661043767167
27,265,415,V1,0.913100929268374,-4.529400508634929e-05
28,109,204,V1,0.8525716973741222,-0.009397532141222187
29,111,487,V1,0.8030733528293476,0.009581579321144007
30,126,432,V1,0.871258322683958,-0.013709395304726812
31,442,365,V1,0.9295815576270698,-0.00992611032632762
32,545,450,V1,0.9636064719402955,-0.00012952817302902542
33,168,303,V1,0.9260243716784063,0.00038632182357600797
34,152,435,V1,0.8820463910277718,0.009917093438677305
35,228,202,V1,0.937518369871409,0.0019490293724047092
36,64,225,V1,0.8746350163320332,-0.0030644394529854013
37,171,372,V1,0.8583703265567337,0.0005162219284751135
38,244,52,V1,0.9047311146409877,-0.001063067883169122
39,51,279,V1,0.8969316967984927,0.007398688868114234
0,391,437,V2,0.900331368773715,-0.0034530107137182853
1,358,269,V2,0.8050056092696151,-0.014766566903999356
2,601,168,V2,0.953301629451072,-0.0018068880034934898
3,452,53,V2,0.8761015057852543,0.002248065331353688
4,354,102,V2,0.9390981174301367,-5.71690688966342e-05
5,147,338,V2,0.9078587607171821,0.0013102734769817603
6,553,265,V2,0.836107244704464,0.027232020726145167
7,293,497,V2,0.8838224175834876,0.004139937031747198
8,42,329,V2,0.9150415147811186,0.0003543923696630591
9,229,293,V2,0.762965477859324,-0.021852176280713786
10,74,153,V2,0.8631056386813946,0.004689548789441278
11,399,348,V2,0.8921064709921772,-0.0017049271258516852
12,457,211,V2,0.9390999552081688,-0.0010713570122614646
13,117,290,V2,0.9155077087995613,-0.0066086295210204815
14,472,395,V2,0.9396432855370708,0.004645842891306429
15,454,435,V2,0.9065172689535655,0.00825109028874782
16,167,60,V2,0.8858582972638424,0.003835665491162099
17,100,26,V2,0.9311402962154994,0.0035411818207483625
