row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
398,116,0,3,False,corrupt_det,True,,7.0,Star,The,-0.8672072887420654,-6.3672075271606445,1.0,1.0,5.500000238418579,-11.774352073669434,-11.430602073669434,-0.34375,5.843750238418579
399,116,1,3,False,corrupt,True,,31.0,"(""James","(""Nathan",-7.833985328674316,-16.497268676757812,2.0,3.0,8.663283348083496,-16.510665893554688,-19.337387084960938,2.82672119140625,5.836562156677246
399,116,1,3,False,corrupt_det,True,,3.0,"""In","""Michigan",-0.9230233430862427,-16.516773223876953,2.0,2.0,15.59374988079071,-8.44525146484375,-15.63275146484375,7.1875,8.40624988079071
400,116,2,3,True,corrupt,False,,,,,,,,,,,,,
400,116,2,3,True,corrupt_det,True,,15.0,Trek,Reformation,-1.2029387950897217,-21.596202850341797,1.0,2.0,20.393264055252075,-17.151639938354492,-17.82010269165039,0.6684627532958984,19.724801301956177
401,117,0,3,False,corrupt,False,,,,,,,,,,,,,
401,117,0,3,False,corrupt_det,True,,15.0,Star,Reformation,-0.35869112610816956,-25.10840606689453,1.0,2.0,24.74971494078636,-13.023225784301758,-16.24466896057129,3.2214431762695312,21.52827176451683
402,117,1,3,False,corrupt,False,,,,,,,,,,,,,
402,117,1,3,False,corrupt_det,True,,32.0,"15,","22,",-2.5195376873016357,-3.0251712799072266,4.0,4.0,0.5056335926055908,-8.128755569458008,-8.054899215698242,-0.07385635375976562,0.5794899463653564
403,117,2,3,True,corrupt,True,,34.0,"""CBS","""FOX",-1.5026369094848633,-3.0026371479034424,2.0,2.0,1.500000238418579,-16.160383224487305,-15.402569770812988,-0.7578134536743164,2.2578136920928955
403,117,2,3,True,corrupt_det,True,,31.0,"15,","22,",-2.4152913093566895,-2.8278086185455322,4.0,4.0,0.4125173091888428,-13.210742950439453,-14.227373123168945,1.0166301727294922,-0.6041128635406494
404,118,0,3,False,corrupt,True,,22.0,Muslim,Christian,-0.5716095566749573,-5.9466094970703125,1.0,1.0,5.374999940395355,-9.798337936401367,-9.767087936401367,-0.03125,5.406249940395355
404,118,0,3,False,corrupt_det,True,,22.0,Muslim,War,-0.5716095566749573,-17.895828247070312,1.0,1.0,17.324218690395355,-9.798337936401367,-15.298337936401367,5.5,11.824218690395355
405,118,1,3,False,corrupt,True,,35.0,humility.,arrogance.,-15.29801082611084,-27.48554801940918,2.0,2.0,12.18753719329834,-18.501670837402344,-22.72079086303711,4.219120025634766,7.968417167663574
405,118,1,3,False,corrupt_det,True,,3.0,"(""During","(""The",-13.976798057556152,-7.039298057556152,2.0,2.0,-6.9375,-16.879636764526367,-6.285886764526367,-10.59375,3.65625
406,118,2,3,True,corrupt,True,,21.0,"India,","Antarctica,",-0.07011222839355469,-18.03886604309082,2.0,2.0,17.968753814697266,-9.001043319702148,-13.136754989624023,4.135711669921875,13.83304214477539
406,118,2,3,True,corrupt_det,True,,5.0,"(""During","(""Similarly",-7.872176170349121,-25.997177124023438,2.0,2.0,18.125000953674316,-16.244308471679688,-19.15056037902832,2.906251907348633,15.218749046325684
407,119,0,3,False,corrupt,True,,16.0,"Beirut,","Damascus,",-1.9270566701889038,-4.355792045593262,2.0,2.0,2.428735375404358,-17.37848472595215,-16.16718292236328,-1.2113018035888672,3.640037178993225
407,119,0,3,False,corrupt_det,True,,10.0,Palestinian,First,-1.1569067239761353,-17.711593627929688,1.0,1.0,16.554686903953552,-11.077287673950195,-16.592912673950195,5.515625,11.039061903953552
408,119,1,3,False,corrupt,True,,15.0,"locally""),","globally""),",-1.380225419998169,-13.983750343322754,2.0,2.0,12.603524923324585,-13.90892219543457,-12.288089752197266,-1.6208324432373047,14.22435736656189
408,119,1,3,False,corrupt_det,True,,5.0,"Beirut,","Singapore,",-5.4071364402771,-6.573987007141113,2.0,2.0,1.1668505668640137,-14.391170501708984,-11.136750221252441,-3.254420280456543,4.421270847320557
409,119,2,3,True,corrupt,False,,,,,,,,,,,,,
409,119,2,3,True,corrupt_det,True,,16.0,"(""Known","(""Turin",-9.897893905639648,-27.056568145751953,2.0,3.0,17.158674240112305,-22.42881965637207,-25.781116485595703,3.352296829223633,13.806377410888672
410,120,0,3,False,corrupt,True,,17.0,Republican,Democratic,-0.9488245248794556,-4.011324405670166,1.0,1.0,3.0624998807907104,-9.377620697021484,-9.065120697021484,-0.3125,3.3749998807907104
410,120,0,3,False,corrupt_det,True,,11.0,Senate,Award,-0.7807242274284363,-17.149864196777344,1.0,1.0,16.369139969348907,-8.332090377807617,-17.074277877807617,8.7421875,7.6269524693489075
411,120,1,3,False,corrupt,True,,23.0,"(""Obama's","(""Trump's",-12.6237154006958,-11.836837768554688,3.0,3.0,-0.7868776321411133,-22.00969696044922,-20.45209312438965,-1.5576038360595703,0.770726203918457
411,120,1,3,False,corrupt_det,True,,2.0,"""The","""Glasgow",-14.66423511505127,-32.36768341064453,2.0,4.0,17.70344829559326,-8.861515998840332,-20.993410110473633,12.1318941116333,5.571554183959961
412,120,2,3,True,corrupt,True,,34.0,Republican's,Democrat's,-7.048872947692871,-7.689854621887207,2.0,2.0,0.6409816741943359,-19.98037338256836,-20.43888282775879,0.4585094451904297,0.18247222900390625
412,120,2,3,True,corrupt_det,True,,17.0,"(""Biden,","(""They,",-16.354110717773438,-25.901193618774414,4.0,3.0,9.547082901000977,-19.860626220703125,-22.86486053466797,3.0042343139648438,6.542848587036133
413,121,0,3,False,corrupt,True,,21.0,dramatic,comedic,-2.080368757247925,-8.767868995666504,1.0,1.0,6.687500238418579,-16.09703826904297,-13.815788269042969,-2.28125,8.968750238418579
414,121,1,3,False,corrupt,False,,,,,,,,,,,,,
414,121,1,3,False,corrupt_det,True,,2.0,"""As","""Deathless",-6.712179660797119,-19.49546241760254,2.0,3.0,12.78328275680542,-10.958086967468262,-21.12381362915039,10.165726661682129,2.617556095123291
